Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,110,61,55.5,49,44.5,7616,3227,42.4,4389,57.6,6085,79.2,2519,33.1
AFL-CIO unions,72,42,58.3,30,41.7,5771,2963,51.3,2808,48.7,4484,77.7,2277,39.5
Teamsters,24,15,62.5,9,37.5,400,227,56.8,173,43.2,362,91.0,206,51.5
Other national unions,8,3,37.5,5,62.5,1130,31,2.8,1099,97.2,1042,98.0,30,2.7
Other local unions,6,1,16.7,5,83.3,325,6,1.9,319,98.1,147,45.2,,
