row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Teamsters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Teamsters,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Votes for no union
C. Elections in RM cases,,,,,,,,,,,,,,
1-union elections (Total),9388,2441,2101,154,,164,65,1461,941,370,141,9,4456,
2-union elections (Total),471,458,366,40,,52,2,1,1,,,,9,
Total RM elections,9859,2903,2467,194,,216,,1029,1462,942,370,141,9,4453
"Detail rows (AFL-CIO, Teamsters, Other national unions, Other local unions, AFL-CIO v. AFL-CIO, etc.)",,,,,,,,,,,,,,
